0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y
1.0219407482,1938.,1.0221600933,2030.,1.0223441524,2001.,1.0225243968,11838.
1.0271802349,1936.,1.0273042125,2013.,1.0274722976,2017.,1.0276122493,12804.
1.0321672363,1949.,1.0323381824,1988.,1.0325723094,2026.,1.0327232284,13784.
1.0371478004,1965.,1.0372889442,1977.,1.0374789638,2034.,1.0376491947,14806.
1.0421832008,1976.,1.0423632068,1959.,1.0424971981,2028.,1.0426745815,15814.
1.0468604965,1985.,1.0468705101,1963.,1.0471046371,2021.,1.0473115844,536.
1.0517664356,2004.,1.0519285602,1960.,1.0521064205,1998.,1.0522835655,1642.
1.0567770404,2015.,1.0568962497,1957.,1.0570412082,1993.,1.0571942729,2776.
1.0617871685,2037.,1.0618963642,1959.,1.0620751781,1971.,1.0622103614,3854.
1.0668952865,2038.,1.0670273704,1967.,1.0671673221,1955.,1.0673063201,4904.
1.0718954009,2051.,1.0720262927,1986.,1.072160284,1940.,1.0723882122,5926.
1.0767801208,2018.,1.0769961280,1998.,1.0770881576,1943.,1.077321331,6906.
1.0818152828,2000.,1.0819492740,2004.,1.0820763511,1955.,1.0822112960,7998.
1.0869410438,1992.,1.0871630115,2022.,1.0873451633,1953.,1.087479393,9020.
1.0919313831,1977.,1.092066328,2014.,1.0922341747,1977.,1.0924432678,10098.
1.0970511836,1972.,1.0970561904,2016.,1.0973222656,1983.,1.0973272724,11260.
1.1021752758,1957.,1.1023002071,2009.,1.1024382514,1996.,1.1025903625,12394.
1.107157032,1955.,1.1072760028,1999.,1.1074240608,2020.,1.1075320644,13458.
1.1121187610,1947.,1.1122441692,1977.,1.1123803062,2034.,1.1124923629,14368.
1.1172483367,1960.,1.1173813743,1958.,1.1175141735,2045.,1.1176493568,15334.
1.1218252582,1982.,1.121994297,1950.,1.1221373481,2032.,1.1223142547,16342.
1.126803915,1998.,1.1269281311,1948.,1.1271102828,2028.,1.1273022098,980.
1.1317682666,2013.,1.131906311,1954.,1.1320803565,2006.,1.1322203083,2030.
1.1367669506,2021.,1.1369159622,1950.,1.1370842857,1997.,1.1372223300,3094.
1.1418924732,2017.,1.1420267028,1967.,1.1422470016,1980.,1.1424329681,4200.
1.1469040317,2022.,1.1471319599,1977.,1.1472239894,1964.,1.1474011344,5334.
1.1519663734,2029.,1.1521501941,1986.,1.1522853775,1941.,1.1524632377,6370.
1.1567900581,2014.,1.1569250030,2012.,1.1570661468,1937.,1.1571929855,7434.
1.161906044,2004.,1.1620312137,2024.,1.1621683044,1936.,1.1623092098,8372.
1.1669450206,1963.,1.1671224040,2017.,1.1672175331,1956.,1.1674814624,9422.
1.1719394130,1979.,1.1720755500,2025.,1.1723018093,1967.,1.1724813384,10444.
1.1769342823,1960.,1.1770503921,2022.,1.1772733135,1987.,1.1774113578,11536.
1.1821504039,1963.,1.182292263,2011.,1.1824353141,1998.,1.1825583381,12614.
1.1871691150,1969.,1.1872983379,1995.,1.1874692840,2004.,1.1876092357,13776.
1.1922071380,1970.,1.1923463745,1981.,1.1924813194,2021.,1.1925871772,14910.
1.1970632476,1975.,1.1972423,1967.,1.1974292201,2029.,1.1975644035,16002.
1.201769392,1990.,1.2019262714,1936.,1.2021062774,2032.,1.2022872371,640.
1.2067730827,2012.,1.2069001598,1931.,1.2070830268,2018.,1.2072182102,1620.
1.2117669982,2023.,1.2119002742,1945.,1.2121212882,2000.,1.2122102184,2572.
1.216763298,2026.,1.2169433040,1957.,1.2170823020,1981.,1.2172093791,3608.
1.2219334049,2035.,1.2220492763,1971.,1.222186367,1967.,1.2223651809,4742.
1.226913969,2030.,1.2270880146,1984.,1.2272203369,1955.,1.2273571891,5792.
1.2318213386,2011.,1.2320273323,1989.,1.2321613235,1961.,1.2323441905,6954.
1.2368503017,2002.,1.2369833393,2004.,1.2371182842,1956.,1.2372222347,8060.
1.2419393463,1984.,1.2420282764,2031.,1.2422073287,1956.,1.2423472805,9124.
1.2469590110,1968.,1.2471192283,2041.,1.2472572727,1963.,1.2473912639,10160.
1.2519417209,1950.,1.2521653575,2032.,1.2522933883,1979.,1.2524252338,11168.
1.2570243282,1957.,1.2571733398,2020.,1.2573023242,1999.,1.2574372692,12148.
1.2622082633,1961.,1.2623453540,1999.,1.2624833984,2008.,1.2626183433,13212.
1.2671380443,1963.,1.2672460479,1986.,1.2673809928,2027.,1.2675142688,14346.
1.2721779746,1984.,1.2723563117,1976.,1.2724972171,2016.,1.2727053565,15466.
1.2767641944,1988.,1.2768981857,1975.,1.2770421905,2002.,1.2771890563,272.
1.2817869586,2007.,1.2819662494,1959.,1.2821002407,1999.,1.2822802467,1434.
1.2868109149,2019.,1.2869112892,1951.,1.2871182365,1993.,1.2872543735,2568.
1.2917440338,2043.,1.2918682498,1946.,1.2920563621,1976.,1.2921922607,3562.
1.2969413204,2038.,1.297118227,1978.,1.297254364,1954.,1.2973912162,4570.
